Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Rocha,UY,78.8,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
197,Sambava,MG,70.34,few clouds,-14.2667,50.1667,Melrose
200,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
202,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
203,Vikravandi,IN,73.98,overcast clouds,12.0333,79.55,Priya Residency
205,Imbituba,BR,72.82,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
206,Grand Gaube,MU,74.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
208,Najran,SA,65.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
211,Guarapari,BR,78.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
212,Xai-Xai,MZ,71.6,light rain,-25.0519,33.6442,Complexo da Familia
213,Khuzdar,PK,67.51,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
215,La Labor,HN,85.62,clear sky,14.4833,-89.0,Hotel Colonial & Comida Buffet
217,Turayf,SA,66.45,clear sky,31.6725,38.6637,Turaif
218,Hamilton,US,69.64,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
220,Icatu,BR,88.23,light rain,-2.7758,-44.0658,Hotel Guaxenduba
223,Jesup,US,79.34,clear sky,31.6074,-81.8854,Western Motel
226,Kalemie,CD,74.98,broken clouds,-5.9475,29.1947,Mahobilali
227,Sur,OM,78.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
232,San Rafael,AR,86.07,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
233,Harper,LR,77.68,light rain,4.375,-7.7169,Screensaver
234,Adamas,GR,66.33,few clouds,36.7333,24.4333,Aphrodite of Milos
236,Ambilobe,MG,71.82,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
237,Porto Real Do Colegio,BR,79.77,overcast clouds,-10.1858,-36.84,Pousada e Restaurante Manah
240,Wanparti,IN,69.31,few clouds,16.3667,78.0667,Vasanth
241,Pedreira,BR,75.87,broken clouds,-22.7419,-46.9014,Residence Park Hotel
245,Piacabucu,BR,78.19,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
246,Maragogi,BR,78.37,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
247,Itamaraca,BR,80.65,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
248,Ouesso,CG,70.27,overcast clouds,1.6136,16.0517,ABENIE Hotel
252,Tias,ES,74.88,clear sky,28.9611,-13.645,Hotel Beatriz Playa & SPA
253,Bonthe,SL,78.94,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
255,Rochefort,FR,68.92,overcast clouds,45.9167,-1.0,Hôtel de France
257,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
260,Fort Wellington,GY,83.43,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
261,The Valley,AI,84.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
264,Aquin,HT,84.63,clear sky,18.2833,-73.4,Asheev Beach
265,Maputo,MZ,69.76,broken clouds,-25.9653,32.5892,Pestana Rovuma
266,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
268,Laguna,US,75.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
269,Pascagoula,US,79.52,broken clouds,30.3658,-88.5561,Regency Inn
270,Saint-Pierre,RE,72.91,clear sky,-21.3393,55.4781,Alize Plage
271,Boa Vista,BR,93.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
273,Hualmay,PE,67.12,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
278,Ajdabiya,LY,71.01,clear sky,30.7554,20.2263,Almadina Hotel
279,Numan,NG,82.65,overcast clouds,9.4667,12.0333,Zangun Motel
285,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
286,Iracoubo,GF,82.56,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
289,Sawakin,SD,84.67,scattered clouds,19.1059,37.3321,فندق الدويم
291,Sao Filipe,CV,80.96,broken clouds,14.8961,-24.4956,Hotel Xaguate
292,Tabora,TZ,78.49,overcast clouds,-5.0167,32.8,Barcelona Lodge
295,Kavaratti,IN,81.43,broken clouds,10.5669,72.642,Green leaf
297,Baracoa,CU,82.8,clear sky,20.3467,-74.4958,Hostal Rio Miel
299,Atenas De San Cristobal,HN,87.66,scattered clouds,15.6833,-87.3167,Hotelito Posada del Valle
300,Mahibadhoo,MV,80.1,overcast clouds,3.7833,72.9667,Omadhoo Inn
301,Caapucu,PY,82.69,overcast clouds,-26.2167,-57.2,Porton Estancia Santa Clara
303,Effingham,US,77.45,clear sky,32.3669,-81.3332,Countryside Village
304,Karpathos,GR,67.96,clear sky,35.507,27.2132,Alex
306,Chuy,UY,77.52,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
