Index,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Itamaraca,BR,2022-10-28 20:23:49,-7.7478,-34.8256,80.65,72,71,11.39,broken clouds
248,Ouesso,CG,2022-10-28 20:23:50,1.6136,16.0517,70.27,95,100,1.14,overcast clouds
249,Port Hawkesbury,CA,2022-10-28 20:23:50,45.6169,-61.3485,49.59,68,0,9.22,clear sky
250,Champaign,US,2022-10-28 20:23:51,40.1334,-88.2001,63.72,50,0,10.36,clear sky
251,Kashi,CN,2022-10-28 20:23:52,39.4547,75.9797,54.61,28,95,6.71,overcast clouds
252,Tias,ES,2022-10-28 20:23:52,28.9611,-13.645,74.88,65,0,0.0,clear sky
253,Bonthe,SL,2022-10-28 20:23:53,7.5264,-12.505,78.94,85,100,5.1,overcast clouds
254,Panjab,AF,2022-10-28 20:23:53,34.388,67.0233,38.14,37,2,3.8,clear sky
255,Rochefort,FR,2022-10-28 20:23:54,45.9167,-1.0,68.92,72,100,4.0,overcast clouds
256,Balkhash,KZ,2022-10-28 20:23:54,46.844,74.9804,34.57,54,6,13.71,clear sky
257,Sao Joao Da Barra,BR,2022-10-28 20:23:54,-21.6403,-41.0511,80.69,83,64,19.37,broken clouds
258,Auray,FR,2022-10-28 20:23:55,47.6703,-2.9918,64.54,95,100,7.31,overcast clouds
259,Chitral,PK,2022-10-28 20:23:55,35.8462,71.7858,57.29,49,5,1.92,clear sky
